project_id,title,description,operating_unit,budget,expense
120463,Enhancing Adaptive Capacity of communities,Promote the design and implementation of adaptation interventions to address the climate vulnerabilities of local communities at scale across Ethiopia,Ethiopia,85001,43310
112229,Prosel Djègbadji,Le projet vise à promouvoir une Saliculture locale durable et inclusive à travers la valorisation des énergétiques à moindre coût.,Benin,85000,75963
121804,El Sistema de Metas del PNUD-SIGOB ,El Sistema de Metas del PNUD-SIGOB se propone a los efectos de soportar la gestión de las prioridades de EDEESTE y dotar de certidumbre el logro de los Productos Públicos prioritarios de la entidad,Dominican Republic,85000,25
123574,Supporting the Country Coordinating Mechanism,Support to the Country Coordinating Mechanism on Work with International Organizations on HIV and Tuberculosis issues (hereinafter-CCM) for 2020-2022,Kazakhstan,85000,60054
126333,Reduce Impacts of Mercury & POPs in Vietnam (PPG),Reduce the impact and release of mercury and POPs in Vietnam through lifecycle approach and Ecolabel,Viet Nam,85000,0
112287,Solar energy for women’s empowerment,Le Projet vise l'appui à la réduction des inégalités à travers   l'autonomisation des femmes en leur attribuant l'éclairage à travers l'accès des foyers améliorés,Burundi,84598,84598
128007,Oportunidades globales para el desarrollo sector MAPE,"Plan de Inicio para la elaboración del documento y validación del Proyecto: Oportunidades globales para el desarrollo a largo plazo del sector MAPE de Honduras, Gold+.",Honduras,84500,1255
117491,SDG programme support,SDG programme support,"Belarus, Republic of",84427,26837
124153,Seventh Operational Phase-GEF Small Grants Program,Seventh Operational Phase of the GEF Small Grants Programme in Kenya,Kenya,84000,23713
129397,Promoción Participación Electoral,Promoción de la participación electoral y el involucramiento de la ciudadanía en el proceso electoral constituyente,Chile,83980,50233
51400,Eficacia en la Gestión Instituto Prevision,El proyecto tiene el propósito de apoyar al Instituto de Previsión Militar en una revisión de su estrategia institucional para una gestión más eficiente.,Honduras,83280,2333
108026,Rural Youth and adolescents to serve as peace leaders,"This project will strengthen the resiliency of youth and adolescents to instrumentalization be it by terrorism networks, religious extremists and/or political groups advocating violence.",Guinea-Bissau,83000,17542
112953,Enhancing capacities National Volunteer Committee,"The former national volunteer’s scheme needs to be supported to be able to fully undertake its mission to raise awareness of volunteering, recruitment, training and volunteer placement throughout the country to support joint efforts to achieve SDGs",Guinea-Bissau,83000,3767
120078,Implementación de iniciativas con INCOP,Proyecto para la implementación de iniciativas con INCOP,Costa Rica,82360,64968
110396,SDG Finance Facility 2020,The SDG Finance Facility aims to develop SDG aligned viable financial instruments that will catalyse financing towards social and developmental outcomes.,India,82109,172970
56855,Capacity for Governance Programme & Conflict Management,"Supporting Nigeria's Capacity for Governance  and Conflict Prevention, Management and Peace-Building at the Federal and State level.",Nigeria,81908,31415
127453,Gobernanza cadena medicamentos,"Contribuir al ejercicio universal del derecho a la salud por medio del acceso efectivo a medicamentos e insumos médicos en el sistema de salud mexicano, con énfasis en estrategias de mejora institucional y control efectivo de riesgos de corrupción.",Mexico,81600,64187
108405,Support to political dialogue and national reconciliatio,"Support the political process by enabling constructive dialogue among key political stakeholders and advance the national reconciliation process, including through the preparatory work for the National Conference ""Paths to Peace and Development ''",Guinea-Bissau,81080,47782
108997,Financial Mentorship District Health Offices Zambia,The main objective of this project is to improve the capacity of the seven District Medical Offices to properly use and account for the funding and equipment received from GAVI.,Zambia,81031,68603
124674,PPG Promoting Low-carbon Electric Public Bus Transport i,Project preparation grant to finalize the UNDP-GEF project document for project: “Promoting Low-carbon Electric Public Bus Transport in Mauritius”,Mauritius,81000,128
95138,Civil Society Support Programme in Abkhazia,"""Civil Society Support Programme in Abkhazia""
Objective: to promote an inclusive, competent, and responsive civil society in Abkhazia, and, as possible, in South Ossetia.",Georgia,80774,80850
121984,LabHubs Economia Cuidado,Generar conocimiento y apropiación metodológica en instituciones estatales a través de la creación de LabHubs para servicios de cuidado de primera infancia promoviendo inserción laboral a mujeres que realizan trabajos de cuidado y doméstico no remunerado,Bolivia,80708,0
119593,PIMS6394 PPG Integrated Landuse Planning in New Britain,Establishing systems for sustainable integrated land-use planning across New-Britain Island in Papua New Guinea,Papua New Guinea,80107,131583
116673,Apoyo para la adopción de hidrocarburos como refrigerant,El objetivo de este proyecto es promover alternativas para el uso de hidrocarburos (HC) en refrigeracion comercial en la República Dominicana.,Dominican Republic,80063,56063
86729,ENGMT -Proj Apoio à Coop Técnica na àrea de DH e Justiça,O presente projeto tem por objetivo o desenvolvimento de atividades de suporte à atuação do PNUD Brasil na cooperação técnica na área de Direitos Humanos e Justiça.,Brazil,80046,36815
64023,Programa de Gestion - Oficina Malabo,Programa que engloba todos los proyectos de Gestion de la Oficina.,Equatorial Guinea,80000,0
104052,Institutional Development of the Ministry of Foreign Affairs of the Republic of Tajikistan,"Support to Institutional Strengthening of the Ministry of Foreign Affairs of the Republic of Tajikistan, Phase V",Tajikistan,80000,15491
117764,Projects Operationally Managed by the Service Center,"The Service Center (SC) is created to quickly respond to the Iraqi Government's needs to restore basic services (hospitals, schools, houses, water plants, power stations, roads, bridges, etc.).",Iraq,80000,62738
118022,Projet Appui système intégré information territoriale,"Projet d'appui aux collectivités territoriales ciblées pour une meilleure territorialisation des ODD, la mise en place d'un système d'information territoriale et d'un dispositif d'appui à la gestion du projet",Senegal,80000,-10527
125473,Pacific Islands Oceanic Fisheries MAnagement Project III,Project Preparation Grant (PPG) phase for the PIOFM-II project entitled: Implementation of Global and Regional Oceanic Fisheries Conventions and Related Instruments in the Pacific Small Island Developing States (SIDS).,Fiji,80000,31347
125777,Autonomisation socio-économique des femmes et des jeunes,"Ce programme vise à rendre autonomes les ménages vulnérables, les femmes et les jeunes en milieu rural ciblés, à travers le développement de  projets rentables et d'activités économiques durables et résilientes et leur inclusion  socio-économique.",Niger,80000,71617
128492,Respuesta y Recuperación socioeconómica,Contribuir a la respuesta y recuperación socioeconómica a través de recolección de data y análisis claves para la toma de decisiones,Peru,80000,6085
130048,PLAN INICIACION MALARIA FM,El Fondo Global aprobó la asignación de una subvención excepcional contra la malaria para Venezuela. El PNUD  ha sido nombrado Receptor Principal . Se ha previsto desarrollar una fase previa de preparación para la ejecución del programa,Venezuela,80000,-74500
102214,Creating new platforms to support active youth engagem,Creating new platforms to support active youth engagement in global policy debates,Azerbaijan,79729,21769
124481,SSCAF application window approved projects,"This project is to create new job training, employment and income-generation opportunities for deaf and blind people in Turkmenistan.",China,79485,40000
102756,Vocational Training Center in Northern Bosnia,Support for the Establishment of Vocational Training Centre in Northern Bosnia will assist in addressing the shortage of skilled labour in key industries in North-East Bosnia region.,Bosnia and Herzegovina,79407,50969
111450,Preparations Towards An Aged Nation By 2030,"Preparations Towards An Aged Nation By 2030 - Age Friendly Project. As Malaysia is heading into an ageing population, and by 2040, the number of population above the age of 65 will be over 40% of the total population.",Malaysia,79000,32229
124125,SIGOB MINPRE,SIGOB Ministerio Presidencia,Dominican Republic,79000,4750
85007,Estrategia Inclusión Social PEMEX,"Desarrollar una Estrategia de Inclusión Social Institucional en pro de espacios laborales incluyentes y libres de discriminación para mujeres, personas con discapacidad y población LGBTTI.",Mexico,78913,56816
116334,Promote Access to Services for Persons with Disabilities,"Strengthening disability data collection, establishment of the National Disability Forum to coordinate disability services and developing capacity to improve the early identification, assessment, and early interventions of children with disabilities.",Namibia,78900,32423
113749,IPC113749 GIZ Climate Change Expenditures in Brazil,"This project aims to support the Brazilian government endeavours related to the identification, classification and transparency of national (public and private).",Brazil,78857,40934
121094,Elaboration de propositions de projet Environnement,Ce plan d’initiation permettra l’élaboration d’une proposition de projet à soumettre au Fonds pour I’ Environnement Mondial,Haiti,78610,63278
128350,PPG - PIMS 6316 - Nature Based Solution for Blue Economy,PPG - PIMS 6316 - Nature Based Solution for Blue Economy,Seychelles,78500,847
99895,Plan de Inicio Instrumentos Económicos Ambientales,"Instrumentos económicos y herramientas para apoyar la conservación de la biodiversidad, el pago de los servicios de los ecosistemas y el desarrollo sostenible.",Chile,78479,76326
124182,PIMS6477 GEF Small Grants Prog,Seventh Operational Phase of the GEF Small Grants Programme in Malaysia,Malaysia,78166,13703
109701,Solar Home Standalone System for Funaota,"The project will install stand-alone photovoltaic (PV) solar home systems (SHSs) that will provide reliable, high quality, cost-effective and environmentally friendly 24-hours/day power supply.",Tuvalu,78165,8711
114791,Acc. Tech capacity of MoWIE-Climate Resilient WASH,MoWIE is in critical need of capacity to enhance performance in CRGE-WASH. The ministry has requested UNDP & UNICEF to deploy up to 35 technical experts who would be working mainstreamed within the line system.,Ethiopia,78001,62784
91140,Joint Prog on Local Governance & Decentralized Service,Joint Programme on Local Governance and Decentralized Service Delivery (Phase II),Somalia,78000,810
69198,Strenghtening Wetland PA Management.,CBPF-MSL: Strengthening the Management Effectiveness of the Sub-System of Wetland Protected Areas for Conservation of Globally Significant Biodiversity,China,77451,77451
112781,Sustainable food systems and improved ecosystems service,Promotion of sustainable food systems and improved ecosystems services in Northern Kazakhstan landscape,Kazakhstan,77195,59086
82508,EU Support to ECOWAS Reg. Peace Sec. & Stability Mandate,"EU Support to ECOWAS Regional Peace, Security and Stability Mandate.The ECOWAS/EU Small Arms Project is an intervention under the Programme ""EU support to ECOWAS Regional Peace, Security and Stability Mandate""",Nigeria,77123,-34326
92674,Appui au Cycle Electoral 2015 - 2018,L’objectif du projet est de renforcer les capacités de la CENI et des institutions clés pour l’organisation d’une élection présidentielle crédible et transparente.,Chad,76780,335
40320,Global Disaster Risk Reduction Mainstreaming Initiative,Global Disaster Risk Reduction Mainstreaming Initiative - UNDP (BCPR) in conjunction with the Canadian International Development Agency will support practical approaches aimed at more effectively integrating disaster risk reduction into development.,BCPR,76711,-4832
127929,PPG - 7th Operational Phase of GEF SGP in Indonesia,The Seventh Phase of the GEF Small Grants Program in Indonesia aims to enable communities and organizations to take collective action through a participatory landscape planning and management approach.,Indonesia,76500,0
80011,Establishment of Centre for Sustainable Development,"Project is aimed at establishment and positioning of the Centre for Sustainable Development (CSD), as a joint initiative of Government of Montenegro and UNDP, with aim to promote sustainable development in Montenegro, within the EU framework.",Montenegro,76407,8737
63603,Bureau of External Relations & Advocacy (BERA)Mgmt Proj.,Management Award,PB,76314,32997
124307,Sistema de gestión para la Gobernabilidad,Brindar asistencia a instancias clave del sector público de priorización de metas institucionales  para la consecución de  sus fines. La contribución consistirá en puesta en marcha de módulos SIGOB en las instituciones seleccionadas.,El Salvador,76000,76000
125220,Fondo para transversalización de género,Fortalecer la capacidad de la CO para  los estándares del Sello de Igualdad de Género(SIG) contribuir con instituciones clave del estado para mejorar sus capacidades de género y logar que el sector privado se sume al SIG serán sus líneas de trabajo.,Paraguay,75781,65782
99637,"Basel, Rotterdam, Stockholm and Minamata Conventions","Establishment of synergy between Basel, Rotterdam, Stockholm and Minamata Convention at national level in the Republic of Serbia.",Serbia,75648,50741
85008,Inclusión niños/as con discapacidad en Estancias Infan,Modelo de cuidado y atención inclusivo para niños y niñas con discapacidad en el marco del Programa de Estancias Infantiles,Mexico,75559,74093
51107,UNDP Comoros Security measures,le UNMSM est un fonds attribué par le siège suivant les besoins de renforcement de la sécurité du Bureau de Pays.,Comoros,75526,77796
97580,Desenvolvimento Sustentável no Oeste do Paraná,"Diálogos, Produção e Gestão do Conhecimento e Formação para o Desenvolvimento Sustentável e a Agenda 2030 no Oeste do Paraná",Brazil,75501,67729
56808,Implementation of the Gender Equality Strategy,Programme of Support towards the Implementation of the Gender Equality Strategy (2009-2013),Bureau Policy & Prog Support,75109,61219
90310,Addressing urgent coastal adaptation needs and capacity gaps in Angola,Strengthening National Capacity to Fight HIV/AIDS in Angola.The main goal of this project is to provide significant support to the national HIV/AIDS response to strengthening the M&E component and the National quality assurance System of medicines.,Angola,75000,37455
100139,More Accessible Justice,"This project aims at injecting an access to justice approach into the broader justice sector reform currently underway in Albania, which focuses mainly and legislative reform and institutional reforms.",Albania,75000,17866
121078,Climate Security in the Pacific,"To develop interventions to address Climate Security Risks in the Pacific Region mainly Tuvalu, Kiribati and the Republic of Marshall Islands.",Fiji,75000,3267
128000,GEF GOLD+ PPG,Reduction of anthropogenic releases/emissions of mercury from Artisanal and Small-Scale Gold mining into the environment.,Ghana,74500,0
125453,Supply Health Project,"In close coordination with WHO and UNICEF, UNDP seeks to provide supply chain  support to the Government of Iran by leveraging its robust international operational capacity and extensive experience working in the area of Health and Development.","Iran, Islamic Republic of",74286,70293
106908,Empowering Rural Women in Fiji-Upscaling the Rocket Stov,Empowering Rural Women in Fiji - Upscaling the Rocket Stove Project,Spcl Unit for South South Coop,74233,15311
99568,UN Support to the Cyprus Peace Process,Provision of timely substantive and operational support to UN entities who are providing direct support to the peace process in Cyprus in support of confidence building measures between Greek Cypriots and Turkish Cypriots,Cyprus,74065,31725
119895,Support to International Solar Alliance,Support to International Solar Alliance (ISA) to strengthen the institutional capacity of ISA in areas identified  by the joint UN  Mission and critical to its full operationalisation by October 2020,India,74000,0
96291,Red Federal de Monitoreo Ambiental,"El presente proyecto aborda la implementación de una Red Federal de Monitoreo Ambiental, que tiene por objetivo integrar estaciones de monitoreo de agua, aire y suelo.",Argentina,73848,50468
63053,Capacity Development for Disaster Risk Management,Capacity Development for Disaster Risk Management project with Ministry of National Security and the Office of Disaster Preparedness and Management (ODPM),Trinidad and Tobago,73844,24471
119614,PPG - Heritage Mgmt of Endangered Wildlife (CONSERVE),"Project Preparation Grant: Catalyzing Optimum Management of Natural Heritage for Sustainability of Ecosystem, Resources and Viability of Endangered Wildlife Species (CONSERVE)",Indonesia,73748,67028
96726,Local Government Service Delivery 2016-2020,"The primary objective of the Programme is to support the local government reforms, strengthen the capacities of the sub national governance architecture, and contribute to poverty eradication and realization of the SDGS.",Zimbabwe,73443,60515
117795,GENSEK - International  Development Cooperation,Positioning Serbia in international development cooperation and paving its way for provision of Official Development Assistance,Serbia,72606,66990
79671,Dialogo Politico Genero,"Establecer alianzas estratégicas y espacios de concertación entre  mujeres políticas, el sector privado, el Estado y la sociedad civil",Dominican Republic,72533,31733
72941,Support to Programme Effectiveness,"Support to effective management of the country programme through monitoring and evaluation, partnerships and resource mobilization, communication and outreach, and learning, capacity building and knowledge management.",Pakistan,72052,27144
126154,Desarrollo de capacidades de las OSC,Contribuir a la apropiación del Enfoque basado en Derechos Humanos (EBDH) y al compromiso con la inclusión social y la Agenda 2030 por parte de las y los integrantes de las organizaciones de la sociedad civil (OSC),Mexico,72040,24760
115287,Fostering women’s political participation,Fostering women’s political participation at the local level. Project developed in the framework of SUB-WINDOW 1:Democratic Governance for Peace and Development,Costa Rica,71983,72236
38401,Management Plan,Management Plan,Gambia,71501,65559
124250,Lebanon Sustainable Low-emission Transport Systems,Promotion of sustainable transport in Lebanon through transport demand management and low carbon vehicles - Preparation phase.,Lebanon,71500,19750
111629,Technology for SDGs financing platform,"The Platform objective is to link technological solutions that contribute to achievement of the SDGs with private financing – mostly, but not limited to impact investment.",Armenia,71487,54086
91928,IP-Mobilisation des ressources,"Instance préparatoire pour :
- préparation du PIF du projet multifocal dans le cadre du FEM-6;
- Appui à la mise en place de la haute instance DDDGF",Tunisia,71363,39
120102,Combat Wildlife Trafficking in Madagascar,"Sustainable Management of Conservation Areas and Improved Livelihoods to Combat Wildlife Trafficking in Madagascar - By Improving Financial Sustainability, Effective Management, and Ecosystem Coverage of the Global Protected Area Estate",Madagascar,71339,50943
45900,Sustainable Transport: Full Sized Project,The objective of the project is to reduce the growth of the energy consumption and the related greenhouse gas emissions of the transport sector in Egypt.,Egypt,70951,14973
80692,Políticas públicas de juventud,Fortalecimiento de las Políticas Publicas en Juventud con el fin de intervenir la realidad juvenil en Chile y sus brechas de desarrollo.,Chile,70487,158
118601,Support for Early Recovery from floods in Iran Project,The project will support the Government of Iran in emergency coordination and early recovery for floods in Iran in March 2019,"Iran, Islamic Republic of",70267,77457
99096,Third National Communication (TNC) and First Biennial Update Report (FBUR),The project objective is to support the Government of FSM to prepare its Third National Communication (TNC) and First Biennial Report under the UNFCCC (FBUR).,"Micronesia, Federated Statesof",70200,70017
73428,Support to Framework Agreement on Bangsamoro (FAB),This Project aims to contribute to the overall momentum for peace in Mindanao by supporting the enhancement of capacities among key stakeholders to manage the transition from ARMM to Bangsamoro over the next three years.,Philippines,70144,2373
119383,Commodities libres de deforestacion,Reduce deforestation and land degradation caused by increasing production of agricultural commodities in important economi- ecological jurisdictions in the northwestern Amazon of Peru by converting the project concept into a full project design,Peru,70118,27835
57189,Development Support Services Mauritania,"Il ne s'agit pas de projet au sens strict du terme. il s'agit d'un projet Atlas pour utiliser les fonds DSS, fonds destinés à appuyer les activités du Bureau.",Mauritania,70115,12220
121537,IPC121537 - Learning and Knowledge sharing activities,"To gather knowledge and facilitate the exchange of innovative
experiences and initiatives among countries",Brazil,70107,63962
116728,Support to Inclusive Governance,This multi-project Proposal will support CPD interventions created under the 3) Responsive & Inclusive Institutions;  and 4) Integration of 2030 Agenda;,Namibia,70000,77197
125983,Cohésion sociale Université,"l'Université, espace de dialogue au service de la cohésion sociale , le projet vise à appuyer le MERS dans la mise en place d'un environnement harmonieux dans les Universités, résilient face aux risque de violence",Tunisia,70000,27950
129241,Namibia's Financing Architecture,Strengthening Namibia’s Financing Architecture for Enhanced Quality & Scale of Financing for SDGs (Joint SDG Fund window 1),Namibia,70000,0
90554,Parliament Oversight and Transparency,Support National Assembly of the Republic of Serbia to perform oversight over the executive and advance its representative role with citizens,Serbia,69722,69229
85065,Implementando enfoques de Desarrollo Humano en políticas públicas de Republica Dominicana,"Contribuir a mejorar las capacidades nacionales para la formulación, implementación y monitoreo de políticas públicas inclusivas y sostenibles, a partir de la generación de conocimiento sobre las realidades del país en materia de DH.",Dominican Republic,69550,11544
67806,URU/12/002 Desarrollo del ecoturismo y turismo responsab,"El objetivo del proyecto es apoyar a las organizaciones civiles de base para el desarrollo de emprendimientos ecoturísticos y de turismo responsable, para el mejoramiento de la gestión integrada del territorio.",Uruguay,69179,11023
116003,"PPG POPs, Mercury and Other Hazardous Chemicals","Environmentally Sound Management of POPs, Mercury and other Hazardous Chemicals in Argentina",Argentina,69105,58254
44055,Developpement Advisory Service (DAS),Developpement Advisory Service (DAS),Algeria,69000,52974
61160,Communicating Results,UNDP Country Office in Georgia assigns a specific budget to increase effectiveness and efficiency of its communications activities and ensure successful implementation of the Country Office’s communications strategy.,Georgia,69000,44757
86418,LIFE'S SIMPLER WITH INTERNET,"“Life’s Simpler with Internet” project offers a solution through trainings for those who have not been introduced to online life, and those who (might) have missed the digital revolution.",Turkey,69000,42510
129893,Sistema Metas y Centro Gestión SIGOB,"Soporte Funcional y actualización del Sistema de Metas y Centro de Gestión del SIGOB, con el objeto de fortalecer la capacidad institucional de la Fiscalía General de la Nación para el cumplimiento de sus objetivos en el marco del ODS 16",Colombia,68868,0
90566,Open Data in the Republic of Serbia,Support the development of an open data ecosystem in Serbia that will catalyze improved government delivery to citizens and generate economic growth,Serbia,68800,68643
111999,Environment Protection Technology Platform Establishment,“Environment Protection Technology Platform Establishment for Rural Vitalization in China” Project,China,68265,42971
91107,Apoyo a la celebración de los 500 años de Fundación de l,"La Comisión de los 500 años de Fundación de la Ciudad de Panamá, organizada en tres comités, es la facultada para diseñar, coordinar, gestionar y estructurar las actividades, eventos y proyectos.",Panama,68000,0
107216,Fortalecimiento de Capacidades Agenda 2030,"El Proyecto tiene el propósito de fortalecer las capacidades del Gobierno nacional, de Gobiernos Municipales y de otros actores clave multisectoriales de Honduras para la implementación de la Agenda 2030.",Honduras,67860,51050
128100,Debt Management - Bahamas,The overall objective of the project is to promote long-term public debt sustainability in The Bahamas by strengthening capacity to manage public debt effectively.,Jamaica,67856,0
33270,Development Support Services,Development Support Services in Uruguay,Uruguay,67426,14903
128057,PPG Résilience du secteur Eau,Elaboration du document de projet Renforcement de la résilience du secteur de l'eau potable au sud d'Haïti face au CC.,Haiti,67400,1830
116995,Project preparation Grant Dechets,The purpose of the GEF PPG is to describe how the project preparation grant from the GEF will be programmed to develop a full project document with supporting documentation for submission to the GEF for CEO endorsement.,Algeria,66938,59250
124268,Estrategia de Inclusion e Igualdad Genero NMP,"Diseño e implementación de una estrategia institucional que permita al NMP la construcción de un espacio laboral inclusivo, igualitario, libre de discriminación y violencia laboral, en materia de género.",Mexico,66881,38086
90127,Ebola Recovery Strategy,"Bureau for Policy and Programme Support, Ebola Recovery Development Solutions Team: Government National Strategies on Ebola Recovery Operationalized; Manu River Union Regional strategy on Ebola Recovery Operationalized.",Bureau Policy & Prog Support,66418,0
119018,Low Carbon and resource efficient development,"Resource Efficient and Low carbon Development:
Resource Efficient Water Management, Low carbon transport, Circular economy in food waste management, Identify green added value products.",Montenegro,66366,9333
88224,Projects Formulation and Development Support,Projects Formulation and Development Support,Reg Bur for Arab States,66357,112903
48213,GEF SGP Operational Phase IV,GEF SGP OP IV - Global environmental benefits secured in the GEF focal areas through community-based initiatives and actions.,Bureau Policy & Prog Support,66002,57083
71185,Strengthening Democratic Governance,To strengthen service delivery and democratic governance through interventions to improve oversight & accountability; and utilize global networks and S-S Cooperation to expand local knowledge and facilitate access to good practices,South Africa,66000,87664
71815,Improved management of common services to the united nations country team,Ce projet a été créé pour assurer une meilleure gestion des services communs du SNU à savoir les contributions des agences à la Sécurité et à la Clinique.,Benin,65752,2421
88096,Japan-Caribbean Climate Change Partnership,Aims to support countries in advancing inclusive low-emission risk-resilient development by improving energy security and integrating planning for adaptation to climate change within improved development planning and budgeting processes,Panama Regional Center,65687,52170
119644,PPG - Transboundary Integrated Water Resource Management (IWRM) of the Sixaola River Basin,PPG - Towards the transboundary Integrated Water Resource Management (IWRM) of the Sixaola River Basin shared by Costa Rica and Panama,Costa Rica,65665,60780
101093,Regional Oversight Mechanism (ROM),"El Grupo de Monitoreo Estratégico de programas regionales en América Latina (GME) es una instancia de apoyo estratégico en la implementación de las subvenciones de organizaciones regionales, financiadas por el FM en LAC.",Panama Regional Center,65500,44843
81778,Engagement Facility Trinidad and Tobago,To deliver upstream policy and knowledge/innovation results to the Government of Trinidad and Tobago,Trinidad and Tobago,65452,43436
97775,Assistance to the Blind and Deaf Society of Turkmenistan,Towards decent work for people with disabilities in Turkmenistan: transforming social enterprises into meaningful training and employment opportunities,Turkmenistan,65402,0
88939,Mainstreaming Biodiversity Conservation into the Tourism,"Mainstream biodiversity conservation into tourism development and promote Bhutan as a model ecotourism destination, generating livelihoods opportunities and sustainable financing for better human-wildlife coexistence.",Bhutan,65195,60632
129962,PDNA TT Amanda y Cristobal,"Evaluación de daños, pérdidas y necesidades de recuperación causados por las tormentas tropicales Amanda y Cristóbal en El Salvador en el contexto de la respuesta COVID-19",El Salvador,65000,38996
129855,Blue Economy Finance for SIDS  - SDG FUND,"The project will unlock the economic potential of the Blue Economy in Barbados, Grenada and St. Vincent and the Grenadines through the creation of an enabling environment for sustainable financing of national and community-level blue economy investments.",Barbados,64612,0
109630,Proyecto Trinacional para la Resiliencia/Cohesión Social,Coordinar acciones entre Naciones Unidas y los tres gobiernos en función de tres áreas clave: 1) Mecanismos de reintegración social y económica 2)Fortalecidas capacidades de protección y respuesta 3)Mecanismos Intercambio de Información y coordinación.,Honduras,64506,64382
117450,GTM - SUPPORT TO UNRC,GTM - SUPPORT TO UNRC,Guatemala,64433,-2249
95934,Namibia’s Fourth National Communication (NC4),This Project will enable Namibia to coordinate the preparation process and submit Namibia’s Fourth National Communication (NC4) to the Secretariat as part of its obligations under the provisions of the UNFCCC,Namibia,64347,61926
100484,Support for the cultural heritage monuments V,Support to confidence building measures between the communities of Cyprus though the preservation of selected cultural heritage sites across the island in partnership with the Technical Committee on Cultural Heritage.,Cyprus,64247,66571
97728,Regional Programme on Local Democracy in the W.Balkans,Regional Programme on Local Democracy in the W. Balkans should strengthen the partnerships between municipalities and civil society by scaling-up a successful model of transparent funding of civil society organizations from municipal budgets.,North Macedonia,64086,36707
60569,Kosovo Public Pulse Opinion Polls,The objective of the project is to increase the communication between public and democratic institutions regarding pertinent issues highlighted by biannual research.,Kosovo (As per UNSCR 1244),63437,62412
84098,Support to strengthen the Rule of Law in Kosovo,"The SSROL aims at supporting the RoL sector in strengthening and ensuring an independent and effective justice system that is able to protect and promote human rights standards, thus ensuring better access to justice for all citizens.",Kosovo (As per UNSCR 1244),63057,47531
120346,YEP II Initiation Plan,The YEP II Initiation Plan will serve as a transitional project that will serve as a platform and lead to the second phase of the Youth Employment Program.,Samoa,63027,47488
112294,SDG Localization:Local gov'ts leapfrogging into 21st cen,"As strategic action to localize the SDGs, the project will harness the transformative power of technologies to deliver essential services.  Together with LGUs, produce prototypes that are future-ready, user-centred, efficient, less prone to corruption.",Philippines,63001,29149
123786,Earthquake Response,"The goal of the project is to provide planning and coordination support to local populations, the government and humanitarian organizations involved in the relief to recovery process from December 2019 to December 2020.",Albania,62840,62835
95522,Communications and Monitoring & Evaluation,Communications and Monitoring & Evaluation Support Services Provided to Projects in Papua New Guinea,Papua New Guinea,62789,79045
93075,Transparencia Congreso,"Perfeccionamiento normativo e implementación del nuevo sistema de ética, probidad y transparencia del Congreso Nacional",Chile,62755,24418
102376,Assistance in Implementation of NHRAP,Assistance in implementation of the National Human Rights Action Plan (NHRAP) of Turkmenistan for 2016-2020,Turkmenistan,62520,47359
115897,RCO OPERATIONS,Contribución Agencias para la gestión financiera y administrativa de la OCR.,Ecuador,62506,16866
78393,Innovative Solutions for Improved Access to Services,The main objective of the project is to enable the MLSG as a coordinator and monitor of the issues related to decentralization and local governance to further advance its efforts in promoting the citizen oriented local governance.,North Macedonia,62378,16305
67121,HCFC Phase out Management Plan -1st Stage Implementation,The project will enable Jamaica to meet all of the Montreal Protocol’s HCFC control targets up to total phase out on 1 January 2040,Jamaica,61818,0
71263,preservation and development of gallery forests and productionof digital base mapping,Projet Appui à la Préservation et au Développement des Forêts Galeries et à la production de la Cartographie de base du Bénin réservation des Forêts Galeries et de la Cartographie du Bénin.,Benin,61795,61296
123136,Fortalecimiento institucional para vivienda CONAVI,"Contribuir a la producción de viviendas adecuadas, sostenibles y seguras, a través de la incorporación del enfoque de gestión integral de riesgo de desastres y resiliencia en la Comisión Nacional de Vivienda (CONAVI) y la política sectorial.",Mexico,61701,57875
119167,Eliminating child marriages in Malawi and Zambia,Eliminating child marriages in Malawi and Zambia and Offering Scholarships to Child Marriage Survivors - pilot project,Spcl Unit for South South Coop,61560,442301
46049,Biomass Energy for Employment,"Increase market demand for biomass energy, strengthen and expand biomass fuel market and supply chain, convince policy makers, financial sector, fuel and technology suppliers and niche markets of benefits and market opportunities for biomass energy.",Bosnia and Herzegovina,61531,39059
121194,International Conference on Sustainable Ocean Economy and Climate Change Adaptation,Conference on sustainable ocean economy and climate change adaptation with the aim to accelerate climate actions.,Viet Nam,61506,35960
94436,2018 National Human Development Report,"2018 National Human Development Report: Social Inclusion in Bosnia and Herzegovina-
The report will provide new information on the main patterns, factors, situations and experiences of exclusion in Bosnia and Herzegovina.",Bosnia and Herzegovina,61390,27527
111100,Plan de Iniciación para la preparación de un portafolio,"Plan de Iniciación pretende lograr un portafolio en el área de seguridad ciudadana y derechos humanos, atendiendo a prioridades del Ministerio del Poder Popular para Interior Justicia y Paz (MPPIJP)",Venezuela,61200,11220
75198,Gouvernance Pour l'Atteinte des OMD (GPAO),"Cet Award couvre deux projets : 
Projet 1: Gouvernance pour l'atteinte des Objectifs du Millénaire pour le Développement.
Projet 2: Programme de renforcement institutionnel de l'Office National de Lutte contre la Corruption",Senegal,61000,49940
86812,Local Area Development Programme - II,"Enhanced Strategic Planning and Harmonizing Planning Process through:
1:Improved capacity for planning and implementation at governorat level, 
2: Improved communication and coordination between central and governorat levels,",Iraq,60880,60880
111166,Youth Employment Generation,"The proposed output is to empower youth and women (skilled, new graduates, women and disabled) for exercising their career choices and reach their economic life potential.",Prog for Palestinian People,60740,60741
